project_id,project_name,start_date,end_date,budget_usd
PRJ001,Digital India Initiative,2020-08-26,2023-08-03,151893.25
PRJ002,Global Expansion 2025,2020-04-13,2024-11-17,4851053.77
PRJ003,Renewable Energy Project,2021-01-24,2023-10-01,4170591.07
PRJ004,Smart Manufacturing Hub,2020-10-11,2024-12-19,1101078.6
PRJ005,Healthcare Modernization,2021-04-09,2024-11-30,950033.59
PRJ006,Urban Infrastructure Upgrade,2021-10-12,2024-10-25,957852.32
PRJ007,AI Innovation Lab,2021-01-08,2023-03-15,1555999.1
PRJ008,NextGen Product Rollout,2020-06-15,2024-09-15,2647544.34
PRJ009,Cybersecurity Revamp,2021-01-14,2024-10-12,2188127.84
PRJ010,Sustainable Farming Program,2020-12-29,2023-06-25,1491584.24
